Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 08 29 11	0.89	4.2	8.3	343	-9999.9	-9999.9	0.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 12	0.89	4.1	8.3	344	-9999.9	-9999.9	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 13	0.91	4.1	8.3	346	-9999.9	-9999.9	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 14	0.96	4.0	9.1	347	-9999.9	-9999.9	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 15	1.08	4.1	6.2	349	-9999.9	-9999.9	0.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 16	1.15	4.3	6.2	350	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 17	1.18	4.5	10.0	351	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 18	1.3	4.7	10.0	352	-9999.9	-9999.9	0.39	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 19	1.33	4.9	10.0	353	-9999.9	-9999.9	0.43	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 20	1.34	5.3	9.1	353	-9999.9	-9999.9	0.47	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 21	1.36	5.4	9.1	354	-9999.9	-9999.9	0.51	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 22	1.38	5.5	9.1	355	-9999.9	-9999.9	0.53	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 29 23	1.38	5.6	10.0	356	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 00	1.35	5.9	10.0	356	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 01	1.31	6.1	10.0	356	-9999.9	-9999.9	0.54	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 02	1.29	6.0	10.0	356	-9999.9	-9999.9	0.52	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 03	1.27	5.9	9.1	356	-9999.9	-9999.9	0.5	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 04	1.25	5.7	9.1	355	-9999.9	-9999.9	0.47	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 05	1.23	5.6	9.1	356	-9999.9	-9999.9	0.43	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 06	1.18	5.7	9.1	356	-9999.9	-9999.9	0.4	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 07	1.15	5.7	9.1	356	-9999.9	-9999.9	0.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 08	1.11	5.7	9.1	357	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 09	1.07	5.7	9.1	358	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 10	1.03	5.8	8.3	359	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 11	0.99	5.8	8.3	0	-9999.9	-9999.9	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 12	0.95	5.9	8.3	0	-9999.9	-9999.9	0.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 13	0.92	6.1	8.3	1	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 14	0.88	6.1	8.3	1	-9999.9	-9999.9	0.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 15	0.85	6.1	8.3	2	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 16	0.82	6.1	8.3	1	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 17	0.79	6.1	8.3	1	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 18	0.76	6.1	8.3	1	-9999.9	-9999.9	0.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 19	0.74	6.1	8.3	1	-9999.9	-9999.9	0.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 20	0.71	6.0	8.3	0	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 21	0.68	6.0	8.3	0	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 22	0.66	6.0	7.5	360	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 30 23	0.64	5.9	7.5	359	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 00	0.62	5.9	7.5	359	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 01	0.6	5.9	7.5	358	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 02	0.57	5.8	7.5	358	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 03	0.56	5.8	7.5	357	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 04	0.54	5.8	7.5	357	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 05	0.52	5.7	7.5	356	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 06	0.5	5.7	7.5	355	-9999.9	-9999.9	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 07	0.49	5.7	7.5	355	-9999.9	-9999.9	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 08	0.47	5.6	7.5	354	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 09	0.46	5.6	7.5	354	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 10	0.44	5.6	7.5	353	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 11	0.43	5.5	6.8	353	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 12	0.44	5.0	6.8	357	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 13	0.51	3.5	6.8	7	-9999.9	-9999.9	0.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 14	0.51	3.3	6.8	9	-9999.9	-9999.9	0.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 15	0.49	3.2	6.8	8	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 16	0.47	3.2	6.8	8	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 17	0.45	3.3	6.8	7	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 18	0.41	3.7	6.8	5	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 19	0.37	4.1	6.8	1	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 20	0.35	4.2	6.8	359	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 21	0.33	4.3	6.8	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 22	0.32	4.3	6.8	356	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 08 31 23	0.31	4.3	6.8	356	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 00	0.3	4.4	6.8	355	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 01	0.3	4.4	6.8	355	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 02	0.28	4.4	6.8	355	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 03	0.28	4.3	6.2	356	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 04	0.28	4.3	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 05	0.28	4.3	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 06	0.27	4.3	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 07	0.26	4.2	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 08	0.25	4.2	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 09	0.25	4.1	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 10	0.24	4.1	6.2	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 11	0.23	4.1	5.7	357	-9999.9	-9999.9	0.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 12	0.22	4.0	5.7	357	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 13	0.21	3.9	5.7	357	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 14	0.21	3.5	5.7	358	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 15	0.21	3.2	5.7	358	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 16	0.2	3.2	5.7	359	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 17	0.2	3.2	6.2	359	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 18	0.21	3.1	5.7	1	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 19	0.22	3.0	5.1	4	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 20	0.22	3.1	5.1	6	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 21	0.23	3.2	4.7	10	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 22	0.26	3.3	4.7	15	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 01 23	0.28	3.5	4.2	18	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 00	0.3	3.6	4.2	19	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 01	0.3	3.7	4.2	19	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 02	0.31	3.8	4.7	19	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 03	0.31	3.9	4.7	19	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 04	0.3	3.9	4.7	20	-9999.9	-9999.9	0.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 05	0.3	4.0	4.7	22	-9999.9	-9999.9	0.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 06	0.31	4.0	4.7	24	-9999.9	-9999.9	0.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 07	0.32	4.1	4.7	26	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 08	0.32	4.2	4.7	28	-9999.9	-9999.9	0.05	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 09	0.33	4.3	4.7	29	-9999.9	-9999.9	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 10	0.34	4.4	5.1	29	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 11	0.35	4.4	5.1	28	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 12	0.36	4.4	5.1	26	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 13	0.38	4.0	5.1	23	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 14	0.42	3.2	5.1	22	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 15	0.44	3.1	4.7	22	-9999.9	-9999.9	0.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 16	0.44	3.1	4.7	21	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 17	0.45	3.3	4.7	19	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 18	0.45	3.7	4.7	17	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 19	0.48	3.9	13.3	16	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 20	0.51	4.1	13.3	15	-9999.9	-9999.9	0.2	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 21	0.53	4.2	13.3	15	-9999.9	-9999.9	0.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 22	0.53	4.3	13.3	14	-9999.9	-9999.9	0.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 02 23	0.53	4.4	13.3	14	-9999.9	-9999.9	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 00	0.52	4.5	13.3	13	-9999.9	-9999.9	0.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 01	0.52	4.6	13.3	12	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 02	0.51	4.7	13.3	11	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 03	0.49	4.8	12.1	10	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 04	0.48	4.9	12.1	9	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 05	0.47	4.9	12.1	8	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 06	0.47	5.0	12.1	7	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 07	0.47	5.0	12.1	7	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 08	0.49	5.0	12.1	9	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 09	0.51	5.0	12.1	11	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 10	0.53	4.9	12.1	13	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 11	0.57	4.4	12.1	15	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 12	0.61	4.2	11.0	17	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 13	0.64	4.0	11.0	18	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 14	0.66	3.9	11.0	18	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 15	0.66	3.9	11.0	18	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 16	0.66	3.9	11.0	17	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 17	0.64	4.1	11.0	15	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 18	0.6	4.4	11.0	14	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 19	0.56	4.8	11.0	12	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 20	0.52	5.1	11.0	9	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 21	0.49	5.3	11.0	7	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 22	0.47	5.5	11.0	4	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 03 23	0.46	5.7	12.1	2	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 00	0.46	5.8	12.1	0	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 01	0.46	6.1	12.1	359	-9999.9	-9999.9	0.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 02	0.47	6.2	12.1	359	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 03	0.49	6.2	12.1	359	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 04	0.5	6.3	12.1	359	-9999.9	-9999.9	0.36	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 05	0.52	6.5	12.1	358	-9999.9	-9999.9	0.38	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 06	0.53	6.8	12.1	358	-9999.9	-9999.9	0.4	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 07	0.55	7.2	13.3	357	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 08	0.56	7.6	13.3	356	-9999.9	-9999.9	0.45	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 09	0.57	7.9	13.3	355	-9999.9	-9999.9	0.47	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 10	0.59	8.2	12.1	355	-9999.9	-9999.9	0.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 11	0.6	8.4	12.1	354	-9999.9	-9999.9	0.5	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 12	0.61	8.5	12.1	354	-9999.9	-9999.9	0.51	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 13	0.61	8.7	12.1	354	-9999.9	-9999.9	0.51	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 14	0.6	8.7	12.1	353	-9999.9	-9999.9	0.51	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 15	0.6	8.7	12.1	353	-9999.9	-9999.9	0.5	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 16	0.59	8.6	12.1	353	-9999.9	-9999.9	0.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 17	0.59	8.6	12.1	353	-9999.9	-9999.9	0.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 18	0.57	8.7	12.1	352	-9999.9	-9999.9	0.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 19	0.57	8.7	12.1	352	-9999.9	-9999.9	0.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 20	0.57	8.8	12.1	352	-9999.9	-9999.9	0.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 21	0.57	8.9	12.1	352	-9999.9	-9999.9	0.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 22	0.57	8.9	12.1	352	-9999.9	-9999.9	0.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 04 23	0.57	9.0	12.1	351	-9999.9	-9999.9	0.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 00	0.57	8.9	12.1	351	-9999.9	-9999.9	0.5	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 01	0.6	8.3	12.1	350	-9999.9	-9999.9	0.51	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 02	0.66	6.4	12.1	350	-9999.9	-9999.9	0.52	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 03	0.73	5.7	14.7	352	-9999.9	-9999.9	0.53	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 04	0.77	5.7	14.7	353	-9999.9	-9999.9	0.54	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 05	0.8	5.8	14.7	354	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 06	0.82	5.8	14.7	355	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 07	0.87	5.5	13.3	356	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 08	0.9	5.5	13.3	357	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 09	0.92	5.6	13.3	358	-9999.9	-9999.9	0.54	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 10	0.91	5.8	13.3	359	-9999.9	-9999.9	0.53	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 11	0.9	6.1	13.3	359	-9999.9	-9999.9	0.52	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 12	0.88	6.5	13.3	359	-9999.9	-9999.9	0.51	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 13	0.87	6.6	13.3	359	-9999.9	-9999.9	0.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 14	0.87	6.6	13.3	359	-9999.9	-9999.9	0.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 15	0.87	6.3	13.3	359	-9999.9	-9999.9	0.47	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 16	0.87	6.1	12.1	359	-9999.9	-9999.9	0.46	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 17	0.91	5.8	12.1	1	-9999.9	-9999.9	0.45	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 18	0.97	5.5	11.0	2	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 19	1.0	5.5	11.0	3	-9999.9	-9999.9	0.43	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 20	1.0	5.4	11.0	4	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 21	1.01	5.3	6.2	5	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 22	1.01	5.4	6.2	5	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 05 23	0.99	5.5	5.7	5	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 00	0.98	5.5	5.7	5	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 01	0.96	5.6	5.7	5	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 02	0.94	5.6	5.7	5	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 03	0.93	5.5	5.7	4	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 04	0.9	5.6	5.7	4	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 05	0.88	5.6	11.0	3	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 06	0.86	5.7	11.0	3	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 07	0.83	5.8	11.0	2	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 08	0.81	5.9	11.0	1	-9999.9	-9999.9	0.42	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 09	0.78	6.0	12.1	0	-9999.9	-9999.9	0.43	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 10	0.76	6.2	11.0	359	-9999.9	-9999.9	0.43	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 11	0.74	6.3	11.0	358	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 12	0.74	6.4	11.0	358	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 13	0.73	6.6	11.0	357	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 14	0.74	6.6	11.0	357	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 15	0.75	6.4	11.0	356	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2020 09 06 16	0.77	5.8	11.0	357	-9999.9	-9999.9	0.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
