Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2019 12 13 17	3.25	9.1	14.7	352	-9999.9	-9999.9	2.86	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 18	3.1	11.4	14.7	353	-9999.9	-9999.9	2.8	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 19	3.06	11.8	14.7	353	-9999.9	-9999.9	2.76	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 20	3.08	11.2	14.7	352	-9999.9	-9999.9	2.76	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 21	3.15	10.5	14.7	352	-9999.9	-9999.9	2.79	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 22	3.14	10.5	14.7	352	-9999.9	-9999.9	2.79	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 13 23	3.02	11.0	14.7	352	-9999.9	-9999.9	2.72	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 00	2.89	11.7	14.7	353	-9999.9	-9999.9	2.62	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 01	2.77	12.4	14.7	353	-9999.9	-9999.9	2.53	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 02	2.66	12.5	14.7	353	-9999.9	-9999.9	2.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 03	2.57	12.6	14.7	353	-9999.9	-9999.9	2.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 04	2.5	12.6	14.7	353	-9999.9	-9999.9	2.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 05	2.45	12.6	14.7	353	-9999.9	-9999.9	2.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 06	2.4	12.7	14.7	353	-9999.9	-9999.9	2.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 07	2.36	12.7	14.7	353	-9999.9	-9999.9	2.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 08	2.31	12.8	14.7	353	-9999.9	-9999.9	2.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 09	2.3	12.9	14.7	353	-9999.9	-9999.9	2.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 10	2.28	12.9	14.7	353	-9999.9	-9999.9	2.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 11	2.26	13.0	16.1	353	-9999.9	-9999.9	2.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 12	2.24	13.1	16.1	353	-9999.9	-9999.9	2.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 13	2.2	13.1	16.1	353	-9999.9	-9999.9	2.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 14	2.16	13.1	16.1	353	-9999.9	-9999.9	2.03	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 15	2.1	13.1	14.7	353	-9999.9	-9999.9	1.98	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 16	2.04	13.0	14.7	353	-9999.9	-9999.9	1.92	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 17	1.99	13.0	14.7	352	-9999.9	-9999.9	1.87	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 18	1.94	12.9	14.7	352	-9999.9	-9999.9	1.82	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 19	1.89	12.9	14.7	352	-9999.9	-9999.9	1.78	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 20	1.85	12.9	14.7	352	-9999.9	-9999.9	1.74	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 21	1.81	12.9	14.7	352	-9999.9	-9999.9	1.7	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 22	1.77	12.9	14.7	352	-9999.9	-9999.9	1.67	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 14 23	1.74	12.7	14.7	352	-9999.9	-9999.9	1.64	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 00	1.71	12.6	14.7	352	-9999.9	-9999.9	1.61	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 01	1.68	12.6	14.7	352	-9999.9	-9999.9	1.59	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 02	1.66	12.8	14.7	352	-9999.9	-9999.9	1.57	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 03	1.63	12.9	14.7	352	-9999.9	-9999.9	1.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 04	1.61	12.9	14.7	352	-9999.9	-9999.9	1.53	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 05	1.58	12.9	14.7	352	-9999.9	-9999.9	1.5	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 06	1.56	12.7	14.7	351	-9999.9	-9999.9	1.46	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 07	1.54	12.6	14.7	351	-9999.9	-9999.9	1.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 08	1.52	12.5	14.7	351	-9999.9	-9999.9	1.43	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 09	1.53	12.6	14.7	352	-9999.9	-9999.9	1.44	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 10	1.57	12.8	14.7	352	-9999.9	-9999.9	1.48	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
