Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2019 12 19 16	0.015	92.49
2019 12 19 17	0.01	90.0
2019 12 19 18	0.004	90.0
2019 12 19 19	0.0	359.28
2019 12 19 20	0.004	274.37
2019 12 19 21	0.008	279.44
2019 12 19 22	0.005	281.24
2019 12 19 23	0.01	84.66
2019 12 20 00	0.028	90.0
2019 12 20 01	0.043	91.75
2019 12 20 02	0.053	91.78
2019 12 20 03	0.06	92.54
2019 12 20 04	0.067	92.83
2019 12 20 05	0.071	92.68
2019 12 20 06	0.07	92.71
2019 12 20 07	0.067	92.83
2019 12 20 08	0.064	92.65
2019 12 20 09	0.062	92.46
2019 12 20 10	0.058	92.3
2019 12 20 11	0.052	91.46
2019 12 20 12	0.047	91.2
2019 12 20 13	0.048	90.78
2019 12 20 14	0.056	91.01
2019 12 20 15	0.064	91.77
2019 12 20 16	0.068	91.95
2019 12 20 17	0.067	92.26
2019 12 20 18	0.064	92.67
2019 12 20 19	0.064	92.96
2019 12 20 20	0.064	92.95
2019 12 20 21	0.063	93.01
2019 12 20 22	0.063	92.69
2019 12 20 23	0.064	92.38
2019 12 21 00	0.076	91.74
2019 12 21 01	0.082	92.31
2019 12 21 02	0.086	92.2
2019 12 21 03	0.089	92.36
2019 12 21 04	0.09	92.53
2019 12 21 05	0.086	92.64
2019 12 21 06	0.079	92.87
2019 12 21 07	0.075	92.52
2019 12 21 08	0.073	92.61
2019 12 21 09	0.075	92.54
2019 12 21 10	0.078	92.91
2019 12 21 11	0.083	92.75
2019 12 21 12	0.086	92.43
2019 12 21 13	0.089	92.36
2019 12 21 14	0.09	92.32
2019 12 21 15	0.091	92.29
2019 12 21 16	0.09	92.33
2019 12 21 17	0.085	92.67
2019 12 21 18	0.079	92.88
2019 12 21 19	0.07	92.7
2019 12 21 20	0.063	92.72
2019 12 21 21	0.058	92.92
2019 12 21 22	0.06	92.53
2019 12 21 23	0.073	92.07
2019 12 22 00	0.094	92.01
2019 12 22 01	0.107	92.14
2019 12 22 02	0.109	92.1
2019 12 22 03	0.105	92.17
