Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2021 05 22 19	0.086	92.87
2021 05 22 20	0.087	92.83
2021 05 22 21	0.085	92.91
2021 05 22 22	0.078	93.15
2021 05 22 23	0.074	93.08
2021 05 23 00	0.066	92.3
2021 05 23 01	0.058	91.95
2021 05 23 02	0.054	91.05
2021 05 23 03	0.054	91.04
2021 05 23 04	0.06	91.59
2021 05 23 05	0.068	91.67
2021 05 23 06	0.077	92.45
2021 05 23 07	0.082	92.79
2021 05 23 08	0.082	93.24
2021 05 23 09	0.077	93.69
2021 05 23 10	0.065	93.8
2021 05 23 11	0.045	94.23
2021 05 23 12	0.023	94.96
2021 05 23 13	0.005	96.7
2021 05 23 14	0.005	273.34
2021 05 23 15	0.009	280.45
2021 05 23 16	0.004	298.16
2021 05 23 17	0.007	76.63
2021 05 23 18	0.021	88.19
2021 05 23 19	0.031	89.4
2021 05 23 20	0.035	89.47
2021 05 23 21	0.036	91.05
2021 05 23 22	0.036	90.52
2021 05 23 23	0.036	90.52
2021 05 24 00	0.037	88.97
2021 05 24 01	0.042	90.01
2021 05 24 02	0.059	90.96
2021 05 24 03	0.092	91.87
2021 05 24 04	0.124	92.45
2021 05 24 05	0.117	92.77
2021 05 24 06	0.112	92.7
2021 05 24 07	0.112	92.71
2021 05 24 08	0.108	93.0
2021 05 24 09	0.102	92.98
2021 05 24 10	0.098	93.11
2021 05 24 11	0.088	92.59
2021 05 24 12	0.079	92.63
2021 05 24 13	0.076	92.01
2021 05 24 14	0.075	91.77
2021 05 24 15	0.079	91.44
2021 05 24 16	0.086	91.55
2021 05 24 17	0.093	91.43
2021 05 24 18	0.098	91.55
2021 05 24 19	0.1	91.71
2021 05 24 20	0.1	92.28
2021 05 24 21	0.095	92.21
2021 05 24 22	0.087	92.62
2021 05 24 23	0.08	92.6
2021 05 25 00	0.075	92.03
2021 05 25 01	0.072	91.84
2021 05 25 02	0.07	91.62
2021 05 25 03	0.069	91.36
2021 05 25 04	0.071	91.34
2021 05 25 05	0.075	91.01
2021 05 25 06	0.081	91.17
2021 05 25 07	0.081	91.87
2021 05 25 08	0.077	91.73
2021 05 25 09	0.069	92.19
2021 05 25 10	0.059	92.89
2021 05 25 11	0.049	92.72
2021 05 25 12	0.038	93.45
2021 05 25 13	0.027	92.79
2021 05 25 14	0.015	91.21
2021 05 25 15	0.005	90.0
2021 05 25 16	0.001	295.93
2021 05 25 17	0.003	301.67
2021 05 25 18	0.001	25.7
2021 05 25 19	0.008	80.92
2021 05 25 20	0.015	86.19
2021 05 25 21	0.017	90.01
2021 05 25 22	0.017	91.07
2021 05 25 23	0.014	91.31
2021 05 26 00	0.002	74.0
2021 05 26 01	0.008	281.26
2021 05 26 02	0.016	278.26
2021 05 26 03	0.018	279.25
2021 05 26 04	0.014	283.34
2021 05 26 05	0.005	307.41
2021 05 26 06	0.007	68.25
2021 05 26 07	0.016	81.73
2021 05 26 08	0.019	87.06
2021 05 26 09	0.012	85.25
2021 05 26 10	0.003	276.31
2021 05 26 11	0.025	272.26
2021 05 26 12	0.052	271.83
2021 05 26 13	0.072	272.88
2021 05 26 14	0.08	273.08
2021 05 26 15	0.079	273.34
2021 05 26 16	0.076	274.0
2021 05 26 17	0.073	274.43
2021 05 26 18	0.067	274.82
2021 05 26 19	0.06	274.41
2021 05 26 20	0.051	274.84
2021 05 26 21	0.044	274.26
2021 05 26 22	0.038	274.43
2021 05 26 23	0.037	274.11
2021 05 27 00	0.041	273.68
2021 05 27 01	0.048	273.54
2021 05 27 02	0.056	274.08
2021 05 27 03	0.062	273.95
2021 05 27 04	0.065	274.07
2021 05 27 05	0.068	273.91
2021 05 27 06	0.069	274.64
2021 05 27 07	0.067	274.52
2021 05 27 08	0.065	273.77
2021 05 27 09	0.065	273.49
2021 05 27 10	0.065	272.9
2021 05 27 11	0.068	272.51
2021 05 27 12	0.073	272.33
2021 05 27 13	0.073	272.61
2021 05 27 14	0.07	272.71
2021 05 27 15	0.065	273.22
2021 05 27 16	0.057	273.98
2021 05 27 17	0.048	273.96
2021 05 27 18	0.038	275.0
2021 05 27 19	0.026	275.69
2021 05 27 20	0.016	276.83
2021 05 27 21	0.011	275.18
2021 05 27 22	0.009	271.96
2021 05 27 23	0.009	284.83
2021 05 28 00	0.014	279.47
2021 05 28 01	0.019	271.91
2021 05 28 02	0.024	271.55
2021 05 28 03	0.027	272.09
2021 05 28 04	0.027	272.75
2021 05 28 05	0.024	273.86
2021 05 28 06	0.016	276.97
2021 05 28 07	0.005	283.22
2021 05 28 08	0.005	80.06
2021 05 28 09	0.016	90.01
2021 05 28 10	0.021	91.79
2021 05 28 11	0.022	92.56
2021 05 28 12	0.019	94.0
2021 05 28 13	0.012	97.47
2021 05 28 14	0.004	107.01
2021 05 28 15	0.004	266.18
2021 05 28 16	0.011	271.8
2021 05 28 17	0.015	274.86
2021 05 28 18	0.016	275.82
2021 05 28 19	0.01	279.15
2021 05 28 20	0.012	88.51
2021 05 28 21	0.034	91.67
2021 05 28 22	0.045	92.12
2021 05 28 23	0.044	92.56
2021 05 29 00	0.036	93.7
2021 05 29 01	0.025	94.56
2021 05 29 02	0.015	96.05
2021 05 29 03	0.01	97.58
2021 05 29 04	0.009	95.9
2021 05 29 05	0.012	93.18
2021 05 29 06	0.015	90.01
2021 05 29 07	0.015	90.01
2021 05 29 08	0.021	90.01
2021 05 29 09	0.031	90.62
2021 05 29 10	0.039	92.42
2021 05 29 11	0.042	93.17
2021 05 29 12	0.041	94.11
2021 05 29 13	0.033	95.7
2021 05 29 14	0.026	97.29
2021 05 29 15	0.02	96.63
2021 05 29 16	0.012	98.94
2021 05 29 17	0.008	99.44
2021 05 29 18	0.007	87.41
2021 05 29 19	0.011	86.74
2021 05 29 20	0.021	89.11
2021 05 29 21	0.033	91.15
2021 05 29 22	0.044	91.28
2021 05 29 23	0.054	92.12
2021 05 30 00	0.057	92.64
2021 05 30 01	0.052	93.28
2021 05 30 02	0.045	93.36
2021 05 30 03	0.036	94.23
2021 05 30 04	0.023	94.07
2021 05 30 05	0.009	97.84
2021 05 30 06	0.001	228.0
2021 05 30 07	0.009	274.06
2021 05 30 08	0.011	278.35
2021 05 30 09	0.009	280.47
2021 05 30 10	0.003	285.18
2021 05 30 11	0.0	359.99
2021 05 30 12	0.0	90.0
2021 05 30 13	0.004	261.28
2021 05 30 14	0.013	270.01
2021 05 30 15	0.021	270.88
2021 05 30 16	0.029	271.31
2021 05 30 17	0.032	273.53
2021 05 30 18	0.03	275.07
2021 05 30 19	0.023	275.69
2021 05 30 20	0.017	277.65
2021 05 30 21	0.017	276.69
2021 05 30 22	0.02	275.51
2021 05 30 23	0.03	273.17
2021 05 31 00	0.04	273.33
2021 05 31 01	0.049	272.7
2021 05 31 02	0.056	273.02
2021 05 31 03	0.061	273.09
2021 05 31 04	0.063	273.29
2021 05 31 05	0.062	273.68
2021 05 31 06	0.058	274.26
2021 05 31 07	0.056	274.7
2021 05 31 08	0.06	274.41
2021 05 31 09	0.073	274.17
2021 05 31 10	0.091	273.53
2021 05 31 11	0.096	273.15
2021 05 31 12	0.097	272.94
2021 05 31 13	0.106	272.69
2021 05 31 14	0.104	272.74
2021 05 31 15	0.097	272.95
2021 05 31 16	0.087	272.85
2021 05 31 17	0.073	273.63
2021 05 31 18	0.055	274.1
2021 05 31 19	0.041	274.64
2021 05 31 20	0.034	275.48
2021 05 31 21	0.018	278.26
2021 05 31 22	0.015	278.46
2021 05 31 23	0.016	277.11
2021 06 01 00	0.026	273.66
2021 06 01 01	0.034	273.3
2021 06 01 02	0.035	272.72
2021 06 01 03	0.033	271.71
2021 06 01 04	0.029	271.95
2021 06 01 05	0.02	272.81
2021 06 01 06	0.003	282.49
2021 06 01 07	0.016	91.15
2021 06 01 08	0.033	92.31
2021 06 01 09	0.046	92.04
2021 06 01 10	0.051	92.95
2021 06 01 11	0.052	93.27
2021 06 01 12	0.05	94.13
2021 06 01 13	0.043	93.95
2021 06 01 14	0.038	94.91
2021 06 01 15	0.03	96.25
2021 06 01 16	0.025	97.38
2021 06 01 17	0.027	97.02
2021 06 01 18	0.027	96.32
2021 06 01 19	0.025	94.56
2021 06 01 20	0.021	93.57
2021 06 01 21	0.021	92.72
2021 06 01 22	0.021	91.79
2021 06 01 23	0.024	90.78
2021 06 02 00	0.018	91.05
2021 06 02 01	0.014	91.31
2021 06 02 02	0.01	93.58
2021 06 02 03	0.006	92.85
2021 06 02 04	0.002	103.97
2021 06 02 05	0.001	248.24
2021 06 02 06	0.006	267.14
2021 06 02 07	0.014	272.73
2021 06 02 08	0.023	271.61
2021 06 02 09	0.034	273.3
2021 06 02 10	0.048	272.74
2021 06 02 11	0.063	272.99
2021 06 02 12	0.068	272.77
2021 06 02 13	0.06	273.16
2021 06 02 14	0.045	273.36
2021 06 02 15	0.037	273.6
2021 06 02 16	0.031	274.21
2021 06 02 17	0.027	273.48
2021 06 02 18	0.022	274.19
2021 06 02 19	0.012	276.0
2021 06 02 20	0.001	306.95
2021 06 02 21	0.008	83.19
2021 06 02 22	0.015	90.01
2021 06 02 23	0.021	90.01
2021 06 03 00	0.028	90.67
2021 06 03 01	0.039	92.44
2021 06 03 02	0.053	93.59
2021 06 03 03	0.068	93.88
2021 06 03 04	0.071	94.27
2021 06 03 05	0.072	94.23
2021 06 03 06	0.06	94.1
2021 06 03 07	0.049	94.59
2021 06 03 08	0.041	94.17
2021 06 03 09	0.033	94.52
2021 06 03 10	0.03	94.44
2021 06 03 11	0.029	92.6
2021 06 03 12	0.031	92.46
2021 06 03 13	0.035	93.27
2021 06 03 14	0.04	92.83
2021 06 03 15	0.046	92.47
2021 06 03 16	0.053	92.51
2021 06 03 17	0.058	92.94
2021 06 03 18	0.062	93.07
2021 06 03 19	0.061	93.1
2021 06 03 20	0.058	93.25
2021 06 03 21	0.054	93.5
2021 06 03 22	0.048	92.74
2021 06 03 23	0.044	92.6
2021 06 04 00	0.046	92.07
2021 06 04 01	0.051	91.48
2021 06 04 02	0.06	91.91
2021 06 04 03	0.069	91.92
2021 06 04 04	0.078	92.43
2021 06 04 05	0.083	92.53
2021 06 04 06	0.084	92.7
2021 06 04 07	0.081	92.8
2021 06 04 08	0.074	93.08
2021 06 04 09	0.065	92.64
2021 06 04 10	0.054	93.14
2021 06 04 11	0.046	92.49
2021 06 04 12	0.041	92.33
2021 06 04 13	0.037	92.53
2021 06 04 14	0.035	91.07
2021 06 04 15	0.033	91.13
2021 06 04 16	0.031	91.82
2021 06 04 17	0.026	92.2
2021 06 04 18	0.016	92.29
2021 06 04 19	0.005	90.0
2021 06 04 20	0.006	273.15
2021 06 04 21	0.018	274.22
2021 06 04 22	0.024	273.85
2021 06 04 23	0.03	275.07
2021 06 05 00	0.032	275.34
2021 06 05 01	0.031	276.12
2021 06 05 02	0.027	277.52
2021 06 05 03	0.019	277.69
2021 06 05 04	0.013	280.14
2021 06 05 05	0.008	285.01
2021 06 05 06	0.009	282.06
2021 06 05 07	0.014	278.11
2021 06 05 08	0.021	274.52
2021 06 05 09	0.031	274.91
2021 06 05 10	0.043	273.51
2021 06 05 11	0.054	273.85
2021 06 05 12	0.061	273.72
2021 06 05 13	0.061	274.03
2021 06 05 14	0.058	274.21
2021 06 05 15	0.053	274.61
2021 06 05 16	0.049	273.88
2021 06 05 17	0.045	273.8
2021 06 05 18	0.043	273.51
2021 06 05 19	0.041	273.65
2021 06 05 20	0.039	273.42
2021 06 05 21	0.038	274.01
2021 06 05 22	0.035	274.27
2021 06 05 23	0.03	274.43
2021 06 06 00	0.025	275.32
2021 06 06 01	0.022	276.04
2021 06 06 02	0.021	276.13
2021 06 06 03	0.021	275.26
2021 06 06 04	0.023	274.13
2021 06 06 05	0.024	273.13
2021 06 06 06	0.025	271.49
2021 06 06 07	0.028	270.67
2021 06 06 08	0.032	270.58
2021 06 06 09	0.038	271.5
2021 06 06 10	0.046	271.25
2021 06 06 11	0.055	271.37
2021 06 06 12	0.066	272.02
2021 06 06 13	0.076	272.51
2021 06 06 14	0.085	272.45
2021 06 06 15	0.092	272.48
2021 06 06 16	0.092	272.88
2021 06 06 17	0.087	272.62
2021 06 06 18	0.077	272.94
2021 06 06 19	0.064	272.65
2021 06 06 20	0.054	272.79
2021 06 06 21	0.048	271.97
2021 06 06 22	0.043	272.66
2021 06 06 23	0.037	273.6
2021 06 07 00	0.032	274.71
2021 06 07 01	0.029	274.53
2021 06 07 02	0.03	274.43
2021 06 07 03	0.032	275.29
2021 06 07 04	0.038	274.5
2021 06 07 05	0.044	273.86
2021 06 07 06	0.051	273.68
2021 06 07 07	0.064	272.68
2021 06 07 08	0.071	272.41
2021 06 07 09	0.071	272.13
2021 06 07 10	0.079	272.63
2021 06 07 11	0.085	272.68
2021 06 07 12	0.088	272.79
2021 06 07 13	0.087	273.06
2021 06 07 14	0.083	273.41
2021 06 07 15	0.079	273.58
2021 06 07 16	0.076	273.72
2021 06 07 17	0.074	273.82
2021 06 07 18	0.07	273.23
2021 06 07 19	0.067	273.13
2021 06 07 20	0.065	272.93
2021 06 07 21	0.063	273.02
2021 06 07 22	0.059	273.21
2021 06 07 23	0.053	273.55
2021 06 08 00	0.043	273.98
2021 06 08 01	0.034	274.94
2021 06 08 02	0.028	275.3
2021 06 08 03	0.027	274.81
2021 06 08 04	0.032	275.34
2021 06 08 05	0.043	273.92
2021 06 08 06	0.056	273.38
2021 06 08 07	0.058	272.63
2021 06 08 08	0.054	272.46
2021 06 08 09	0.048	271.59
2021 06 08 10	0.037	271.54
2021 06 08 11	0.021	270.01
2021 06 08 12	0.001	160.71
2021 06 08 13	0.017	96.68
2021 06 08 14	0.026	95.7
2021 06 08 15	0.031	94.8
2021 06 08 16	0.032	94.65
2021 06 08 17	0.027	95.49
2021 06 08 18	0.023	94.81
2021 06 08 19	0.018	96.09
2021 06 08 20	0.012	99.43
2021 06 08 21	0.01	100.58
2021 06 08 22	0.011	99.97
2021 06 08 23	0.013	96.93
2021 06 09 00	0.001	134.41
2021 06 09 01	0.006	105.44
2021 06 09 02	0.009	98.1
2021 06 09 03	0.011	94.88
2021 06 09 04	0.016	92.29
2021 06 09 05	0.023	91.61
2021 06 09 06	0.031	91.83
2021 06 09 07	0.037	92.03
2021 06 09 08	0.042	92.7
2021 06 09 09	0.04	93.77
2021 06 09 10	0.033	95.13
2021 06 09 11	0.019	97.69
2021 06 09 12	0.003	161.23
2021 06 09 13	0.019	264.21
2021 06 09 14	0.039	268.55
2021 06 09 15	0.055	270.35
2021 06 09 16	0.066	271.45
2021 06 09 17	0.067	272.25
2021 06 09 18	0.059	272.89
2021 06 09 19	0.041	273.65
2021 06 09 20	0.024	273.86
2021 06 09 21	0.015	274.96
2021 06 09 22	0.013	275.71
2021 06 09 23	0.011	273.26
2021 06 10 00	0.013	275.57
2021 06 10 01	0.017	275.48
2021 06 10 02	0.023	274.14
2021 06 10 03	0.028	273.98
2021 06 10 04	0.034	274.98
2021 06 10 05	0.039	274.39
2021 06 10 06	0.045	273.75
2021 06 10 07	0.057	273.63
2021 06 10 08	0.075	273.02
2021 06 10 09	0.084	272.5
2021 06 10 10	0.09	272.32
2021 06 10 11	0.102	272.43
2021 06 10 12	0.106	272.52
2021 06 10 13	0.103	272.77
2021 06 10 14	0.094	273.24
2021 06 10 15	0.078	273.4
2021 06 10 16	0.059	274.14
2021 06 10 17	0.045	274.16
2021 06 10 18	0.036	275.28
2021 06 10 19	0.032	274.16
2021 06 10 20	0.03	273.1
2021 06 10 21	0.032	272.38
2021 06 10 22	0.035	272.67
2021 06 10 23	0.039	271.94
2021 06 11 00	0.043	271.78
2021 06 11 01	0.045	271.7
2021 06 11 02	0.042	272.25
2021 06 11 03	0.035	273.21
2021 06 11 04	0.024	273.86
2021 06 11 05	0.011	276.69
2021 06 11 06	0.002	51.82
2021 06 11 07	0.008	87.83
2021 06 11 08	0.008	92.21
2021 06 11 09	0.001	251.27
2021 06 11 10	0.019	269.06
2021 06 11 11	0.048	270.0
2021 06 11 12	0.076	270.76
2021 06 11 13	0.092	271.44
2021 06 11 14	0.094	271.81
2021 06 11 15	0.082	272.54
2021 06 11 16	0.062	273.36
2021 06 11 17	0.036	274.67
2021 06 11 18	0.012	277.48
2021 06 11 19	0.003	68.46
2021 06 11 20	0.008	90.02
2021 06 11 21	0.004	94.4
2021 06 11 22	0.005	266.42
2021 06 11 23	0.018	270.01
2021 06 12 00	0.031	270.0
2021 06 12 01	0.036	271.56
2021 06 12 02	0.035	272.18
2021 06 12 03	0.024	273.09
2021 06 12 04	0.007	279.83
2021 06 12 05	0.012	85.28
2021 06 12 06	0.029	88.72
2021 06 12 07	0.039	90.49
2021 06 12 08	0.038	91.51
2021 06 12 09	0.025	94.5
2021 06 12 10	0.001	152.72
2021 06 12 11	0.036	268.43
2021 06 12 12	0.076	270.25
2021 06 12 13	0.1	271.53
2021 06 12 14	0.109	271.92
2021 06 12 15	0.099	272.69
2021 06 12 16	0.074	273.57
2021 06 12 17	0.043	274.79
2021 06 12 18	0.016	280.19
2021 06 12 19	0.002	40.42
2021 06 12 20	0.006	78.21
2021 06 12 21	0.002	296.8
2021 06 12 22	0.019	272.96
2021 06 12 23	0.04	272.34
2021 06 13 00	0.068	271.94
2021 06 13 01	0.089	272.36
2021 06 13 02	0.096	272.97
2021 06 13 03	0.093	273.48
2021 06 13 04	0.08	273.77
2021 06 13 05	0.064	274.46
2021 06 13 06	0.047	275.22
2021 06 13 07	0.036	276.78
2021 06 13 08	0.031	277.18
2021 06 13 09	0.031	276.0
2021 06 13 10	0.035	274.31
2021 06 13 11	0.041	272.74
2021 06 13 12	0.054	271.75
2021 06 13 13	0.068	271.94
2021 06 13 14	0.077	271.73
2021 06 13 15	0.073	272.34
2021 06 13 16	0.056	273.4
2021 06 13 17	0.037	274.11
2021 06 13 18	0.022	275.18
2021 06 13 19	0.009	279.76
2021 06 13 20	0.005	73.73
2021 06 13 21	0.021	89.12
2021 06 13 22	0.044	91.28
2021 06 13 23	0.074	92.56
2021 06 14 00	0.096	93.15
2021 06 14 01	0.074	94.35
2021 06 14 02	0.042	96.66
2021 06 14 03	0.006	120.31
2021 06 14 04	0.023	267.56
2021 06 14 05	0.039	271.46
2021 06 14 06	0.04	272.81
2021 06 14 07	0.029	274.53
2021 06 14 08	0.01	284.44
2021 06 14 09	0.01	80.88
2021 06 14 10	0.027	88.6
2021 06 14 11	0.037	91.53
2021 06 14 12	0.04	92.34
2021 06 14 13	0.042	93.15
2021 06 14 14	0.038	94.95
2021 06 14 15	0.027	97.71
2021 06 14 16	0.009	107.02
2021 06 14 17	0.008	260.93
2021 06 14 18	0.013	267.14
2021 06 14 19	0.009	128.32
2021 06 14 20	0.002	74.16
2021 06 14 21	0.024	90.0
2021 06 14 22	0.046	91.23
2021 06 14 23	0.063	92.1
2021 06 15 00	0.07	92.97
2021 06 15 01	0.066	93.71
2021 06 15 02	0.057	93.67
2021 06 15 03	0.045	94.65
2021 06 15 04	0.029	94.54
2021 06 15 05	0.016	93.57
2021 06 15 06	0.008	87.71
2021 06 15 07	0.007	82.26
2021 06 15 08	0.013	85.61
2021 06 15 09	0.022	90.01
2021 06 15 10	0.028	91.36
2021 06 15 11	0.025	93.7
2021 06 15 12	0.013	99.65
2021 06 15 13	0.003	233.04
2021 06 15 14	0.023	267.59
2021 06 15 15	0.044	270.86
2021 06 15 16	0.058	272.61
2021 06 15 17	0.06	273.78
2021 06 15 18	0.05	275.28
2021 06 15 19	0.03	278.02
2021 06 15 20	0.012	288.88
2021 06 15 21	0.003	18.78
2021 06 15 22	0.005	62.12
2021 06 15 23	0.002	330.48
2021 06 16 00	0.006	84.03
2021 06 16 01	0.008	274.75
2021 06 16 02	0.018	273.12
2021 06 16 03	0.025	272.97
2021 06 16 04	0.029	272.63
2021 06 16 05	0.031	273.04
2021 06 16 06	0.03	274.96
2021 06 16 07	0.023	274.95
2021 06 16 08	0.012	279.19
2021 06 16 09	0.002	308.59
2021 06 16 10	0.009	83.91
2021 06 16 11	0.021	90.91
2021 06 16 12	0.032	93.57
2021 06 16 13	0.035	95.37
2021 06 16 14	0.044	96.37
2021 06 16 15	0.066	95.18
2021 06 16 16	0.065	95.21
2021 06 16 17	0.062	94.85
2021 06 16 18	0.05	94.56
2021 06 16 19	0.04	93.74
2021 06 16 20	0.032	92.98
2021 06 16 21	0.029	91.31
2021 06 16 22	0.032	92.34
2021 06 16 23	0.038	91.99
2021 06 17 00	0.04	92.86
2021 06 17 01	0.041	93.22
2021 06 17 02	0.039	94.31
2021 06 17 03	0.033	95.18
2021 06 17 04	0.025	94.5
2021 06 17 05	0.019	95.0
2021 06 17 06	0.013	94.39
2021 06 17 07	0.008	87.8
2021 06 17 08	0.007	81.9
2021 06 17 09	0.008	80.94
2021 06 17 10	0.009	82.17
2021 06 17 11	0.005	75.13
2021 06 17 12	0.005	280.58
2021 06 17 13	0.013	277.11
2021 06 17 14	0.018	274.23
2021 06 17 15	0.026	272.17
2021 06 17 16	0.036	272.65
2021 06 17 17	0.037	273.06
2021 06 17 18	0.033	274.0
2021 06 17 19	0.023	274.81
2021 06 17 20	0.01	282.69
2021 06 17 21	0.008	78.73
2021 06 17 22	0.036	88.42
2021 06 17 23	0.066	90.87
2021 06 18 00	0.077	91.73
2021 06 18 01	0.071	92.13
2021 06 18 02	0.064	92.98
2021 06 18 03	0.054	93.83
2021 06 18 04	0.042	94.45
2021 06 18 05	0.031	95.51
2021 06 18 06	0.02	94.6
2021 06 18 07	0.013	92.79
2021 06 18 08	0.013	87.07
2021 06 18 09	0.016	88.87
2021 06 18 10	0.022	88.33
2021 06 18 11	0.029	88.71
2021 06 18 12	0.042	90.46
2021 06 18 13	0.056	91.68
2021 06 18 14	0.064	92.36
2021 06 18 15	0.065	92.93
2021 06 18 16	0.054	94.17
2021 06 18 17	0.034	94.93
2021 06 18 18	0.013	95.7
2021 06 18 19	0.006	105.1
2021 06 18 20	0.018	275.28
2021 06 18 21	0.022	276.78
2021 06 18 22	0.019	279.75
2021 06 18 23	0.014	284.96
2021 06 19 00	0.017	83.45
2021 06 19 01	0.063	90.61
2021 06 19 02	0.09	91.7
2021 06 19 03	0.102	92.6
2021 06 19 04	0.103	92.94
2021 06 19 05	0.089	93.85
2021 06 19 06	0.077	93.92
2021 06 19 07	0.063	94.2
2021 06 19 08	0.046	94.07
2021 06 19 09	0.031	94.91
2021 06 19 10	0.022	93.36
2021 06 19 11	0.023	92.41
2021 06 19 12	0.032	92.98
2021 06 19 13	0.042	92.25
2021 06 19 14	0.054	92.82
2021 06 19 15	0.064	92.66
2021 06 19 16	0.071	93.19
2021 06 19 17	0.073	93.36
2021 06 19 18	0.07	93.52
2021 06 19 19	0.057	93.3
2021 06 19 20	0.04	92.86
2021 06 19 21	0.022	91.68
2021 06 19 22	0.007	84.82
2021 06 19 23	0.007	283.34
2021 06 20 00	0.023	274.81
2021 06 20 01	0.021	276.32
2021 06 20 02	0.008	285.03
2021 06 20 03	0.005	71.65
2021 06 20 04	0.021	88.22
2021 06 20 05	0.038	90.51
2021 06 20 06	0.049	90.39
2021 06 20 07	0.053	90.72
2021 06 20 08	0.054	91.4
2021 06 20 09	0.053	90.72
2021 06 20 10	0.05	90.77
2021 06 20 11	0.049	91.16
2021 06 20 12	0.05	91.53
2021 06 20 13	0.047	92.84
2021 06 20 14	0.033	95.7
2021 06 20 15	0.002	213.77
2021 06 20 16	0.019	267.06
2021 06 20 17	0.016	268.87
2021 06 20 18	0.01	266.32
2021 06 20 19	0.011	273.27
2021 06 20 20	0.024	273.08
2021 06 20 21	0.036	274.66
2021 06 20 22	0.043	274.78
2021 06 20 23	0.042	275.78
2021 06 21 00	0.027	279.9
2021 06 21 01	0.007	302.21
2021 06 21 02	0.017	82.52
2021 06 21 03	0.042	89.11
2021 06 21 04	0.061	90.94
2021 06 21 05	0.075	92.27
2021 06 21 06	0.09	92.52
2021 06 21 07	0.101	93.2
2021 06 21 08	0.106	93.22
2021 06 21 09	0.106	93.39
2021 06 21 10	0.101	93.58
2021 06 21 11	0.094	93.85
2021 06 21 12	0.086	93.29
2021 06 21 13	0.084	92.95
2021 06 21 14	0.087	92.63
2021 06 21 15	0.099	92.49
2021 06 21 16	0.114	92.17
2021 06 21 17	0.128	92.37
2021 06 21 18	0.14	92.58
2021 06 21 19	0.146	92.6
2021 06 21 20	0.147	92.59
2021 06 21 21	0.144	92.63
2021 06 21 22	0.144	92.65
2021 06 21 23	0.144	92.63
2021 06 22 00	0.149	92.42
2021 06 22 01	0.149	92.3
2021 06 22 02	0.146	92.35
2021 06 22 03	0.144	92.24
2021 06 22 04	0.142	92.27
2021 06 22 05	0.138	92.07
2021 06 22 06	0.133	92.28
2021 06 22 07	0.126	92.41
2021 06 22 08	0.12	92.69
2021 06 22 09	0.11	92.75
2021 06 22 10	0.1	93.04
2021 06 22 11	0.093	92.66
2021 06 22 12	0.092	92.49
2021 06 22 13	0.096	92.37
2021 06 22 14	0.099	92.31
2021 06 22 15	0.102	92.24
2021 06 22 16	0.105	91.99
2021 06 22 17	0.108	91.94
2021 06 22 18	0.106	92.15
2021 06 22 19	0.1	92.46
2021 06 22 20	0.089	92.35
2021 06 22 21	0.075	92.53
2021 06 22 22	0.065	92.62
2021 06 22 23	0.057	92.97
2021 06 23 00	0.039	92.88
2021 06 23 01	0.041	92.77
2021 06 23 02	0.044	92.17
2021 06 23 03	0.049	91.54
2021 06 23 04	0.058	91.97
2021 06 23 05	0.067	91.7
2021 06 23 06	0.075	91.53
2021 06 23 07	0.078	92.42
2021 06 23 08	0.078	92.69
2021 06 23 09	0.071	92.4
2021 06 23 10	0.062	92.75
2021 06 23 11	0.054	92.47
2021 06 23 12	0.049	92.3
2021 06 23 13	0.046	92.45
2021 06 23 14	0.044	92.13
2021 06 23 15	0.044	91.71
2021 06 23 16	0.047	91.21
2021 06 23 17	0.05	91.13
2021 06 23 18	0.055	91.03
2021 06 23 19	0.059	91.92
2021 06 23 20	0.06	92.53
2021 06 23 21	0.057	93.01
2021 06 23 22	0.051	92.6
2021 06 23 23	0.042	93.12
2021 06 24 00	0.035	93.27
2021 06 24 01	0.026	92.14
2021 06 24 02	0.018	91.01
2021 06 24 03	0.014	87.34
2021 06 24 04	0.015	86.35
2021 06 24 05	0.021	88.22
2021 06 24 06	0.03	88.75
2021 06 24 07	0.038	90.5
2021 06 24 08	0.044	91.28
2021 06 24 09	0.043	92.2
2021 06 24 10	0.034	93.33
2021 06 24 11	0.018	94.23
2021 06 24 12	0.005	262.44
2021 06 24 13	0.03	272.52
2021 06 24 14	0.054	272.82
2021 06 24 15	0.072	273.17
2021 06 24 16	0.079	273.34
2021 06 24 17	0.079	273.85
2021 06 24 18	0.068	274.47
2021 06 24 19	0.05	275.28
2021 06 24 20	0.032	275.81
2021 06 24 21	0.021	275.34
2021 06 24 22	0.016	275.93
2021 06 24 23	0.012	276.0
2021 06 25 00	0.019	274.01
2021 06 25 01	0.03	274.39
2021 06 25 02	0.037	274.08
2021 06 25 03	0.041	274.17
2021 06 25 04	0.04	274.75
2021 06 25 05	0.035	275.33
2021 06 25 06	0.029	276.47
2021 06 25 07	0.026	275.11
2021 06 25 08	0.03	273.8
2021 06 25 09	0.039	272.88
2021 06 25 10	0.049	271.94
2021 06 25 11	0.064	271.77
2021 06 25 12	0.08	271.89
2021 06 25 13	0.093	272.05
2021 06 25 14	0.101	272.63
2021 06 25 15	0.104	272.92
2021 06 25 16	0.1	273.23
2021 06 25 17	0.09	273.81
2021 06 25 18	0.076	274.01
2021 06 25 19	0.055	274.44
2021 06 25 20	0.037	274.54
2021 06 25 21	0.025	273.71
