Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2019 12 22 03	14.242
2019 12 22 04	14.245
2019 12 22 05	14.247
2019 12 22 06	14.248
2019 12 22 07	14.248
2019 12 22 08	14.246
2019 12 22 09	14.239
2019 12 22 10	14.227
2019 12 22 11	14.211
2019 12 22 12	14.207
2019 12 22 13	14.22
2019 12 22 14	14.242
2019 12 22 15	14.263
2019 12 22 16	14.273
2019 12 22 17	14.278
2019 12 22 18	14.28
2019 12 22 19	14.281
2019 12 22 20	14.281
2019 12 22 21	14.279
2019 12 22 22	14.277
2019 12 22 23	14.274
2019 12 23 00	14.268
2019 12 23 01	14.261
2019 12 23 02	14.25
2019 12 23 03	14.237
2019 12 23 04	14.221
2019 12 23 05	14.203
2019 12 23 06	14.187
2019 12 23 07	14.17
2019 12 23 08	14.152
2019 12 23 09	14.138
2019 12 23 10	14.123
2019 12 23 11	14.105
2019 12 23 12	14.1
2019 12 23 13	14.105
2019 12 23 14	14.112
2019 12 23 15	14.129
2019 12 23 16	14.154
2019 12 23 17	14.18
2019 12 23 18	14.195
2019 12 23 19	14.199
2019 12 23 20	14.203
2019 12 23 21	14.201
2019 12 23 22	14.195
2019 12 23 23	14.188
2019 12 24 00	14.178
2019 12 24 01	14.169
2019 12 24 02	14.161
2019 12 24 03	14.154
2019 12 24 04	14.149
2019 12 24 05	14.144
2019 12 24 06	14.138
2019 12 24 07	14.127
2019 12 24 08	14.112
2019 12 24 09	14.094
2019 12 24 10	14.069
2019 12 24 11	14.034
2019 12 24 12	14.043
2019 12 24 13	14.097
2019 12 24 14	14.146
2019 12 24 15	14.196
2019 12 24 16	14.244
2019 12 24 17	14.275
2019 12 24 18	14.244
2019 12 24 19	14.191
2019 12 24 20	14.155
2019 12 24 21	14.115
2019 12 24 22	14.071
2019 12 24 23	14.024
2019 12 25 00	13.973
2019 12 25 01	13.92
2019 12 25 02	13.865
2019 12 25 03	13.813
2019 12 25 04	13.768
2019 12 25 05	13.754
2019 12 25 06	13.783
2019 12 25 07	13.785
2019 12 25 08	13.798
2019 12 25 09	13.827
2019 12 25 10	13.828
2019 12 25 11	13.817
2019 12 25 12	13.836
2019 12 25 13	13.883
2019 12 25 14	13.934
2019 12 25 15	13.993
2019 12 25 16	14.058
2019 12 25 17	14.119
2019 12 25 18	14.119
2019 12 25 19	14.058
2019 12 25 20	14.047
2019 12 25 21	14.073
2019 12 25 22	14.086
2019 12 25 23	14.09
2019 12 26 00	14.075
2019 12 26 01	14.076
2019 12 26 02	14.066
2019 12 26 03	14.057
2019 12 26 04	14.05
2019 12 26 05	14.047
2019 12 26 06	14.049
2019 12 26 07	14.043
2019 12 26 08	14.03
2019 12 26 09	14.016
2019 12 26 10	14.001
2019 12 26 11	13.985
2019 12 26 12	13.985
2019 12 26 13	13.997
2019 12 26 14	14.01
2019 12 26 15	14.03
2019 12 26 16	14.06
2019 12 26 17	14.094
2019 12 26 18	14.073
2019 12 26 19	13.99
2019 12 26 20	13.912
2019 12 26 21	13.855
2019 12 26 22	13.821
2019 12 26 23	13.786
2019 12 27 00	13.741
2019 12 27 01	13.695
2019 12 27 02	13.651
2019 12 27 03	13.608
2019 12 27 04	13.567
2019 12 27 05	13.526
2019 12 27 06	13.488
2019 12 27 07	13.448
2019 12 27 08	13.411
2019 12 27 09	13.397
2019 12 27 10	13.412
2019 12 27 11	13.435
2019 12 27 12	13.488
2019 12 27 13	13.58
2019 12 27 14	13.671
2019 12 27 15	13.756
2019 12 27 16	13.837
2019 12 27 17	13.913
2019 12 27 18	13.964
2019 12 27 19	13.99
2019 12 27 20	14.005
2019 12 27 21	14.012
2019 12 27 22	14.009
2019 12 27 23	14.004
2019 12 28 00	14.0
2019 12 28 01	13.997
2019 12 28 02	13.996
2019 12 28 03	13.997
2019 12 28 04	14.0
2019 12 28 05	14.004
2019 12 28 06	14.008
2019 12 28 07	14.011
2019 12 28 08	14.012
2019 12 28 09	14.014
2019 12 28 10	14.014
